ID,DayClassification,DayClassificationID
600,Weekend,600
601,Weekday,601
602,Weekday,602
603,Weekday,603
604,Weekday,604
605,Weekday,605
606,Weekday,606
607,Weekday,607
608,Weekday,608
609,Weekday,609
610,Weekday,610
611,Weekday,611
612,Weekday,612
613,Weekday,613
614,Weekday,614
615,Weekday,615
616,Weekday,616
617,Weekday,617
618,Weekday,618
619,Weekday,619
620,Weekday,620
621,Weekday,621
622,Weekday,622
623,Weekday,623
624,Weekday,624
625,Weekday,625
626,Weekday,626
627,Weekday,627
628,Weekday,628
629,Weekday,629
630,Weekday,630
631,Weekday,631
632,Weekday,632
633,Weekday,633
634,Weekday,634
635,Weekday,635
636,Weekday,636
637,Weekday,637
638,Weekday,638
639,Weekday,639
640,Weekday,640
641,Weekday,641
642,Weekday,642
643,Weekday,643
644,Weekday,644
645,Weekday,645
646,Weekday,646
647,Weekday,647
648,Weekday,648
649,Weekday,649
650,Weekday,650
651,Weekday,651
652,Weekday,652
653,Weekend,653
654,Weekend,654
655,Weekend,655
656,Weekend,656
657,Weekend,657
658,Weekend,658
659,Weekend,659
660,Weekday,660
661,Weekday,661
662,Weekday,662
663,Weekday,663
664,Weekday,664
665,Weekday,665
666,Weekday,666
667,Weekday,667
668,Weekday,668
669,Weekday,669
670,Weekday,670
671,Weekday,671
672,Weekend,672
673,Weekend,673
674,Weekend,674
675,Weekend,675
676,Weekend,676
677,Weekend,677
678,Weekend,678
679,Weekend,679
680,Weekend,680
681,Weekend,681
682,Weekend,682
683,Weekend,683
684,Weekend,684
685,Weekend,685
686,Weekend,686
687,Weekend,687
688,Weekend,688
689,Weekend,689
690,Weekend,690
691,Weekend,691
692,Weekend,692
693,Weekend,693
694,Weekend,694
695,Weekend,695
696,Weekend,696
697,Weekend,697
698,Weekend,698
699,Weekday,699
700,Weekday,700
701,Weekday,701
702,Weekday,702
703,Weekday,703
704,Weekday,704
705,Weekday,705
706,Weekday,706
707,Weekday,707
708,Weekday,708
709,Weekday,709
710,Weekday,710
711,Weekday,711
712,Weekday,712
713,Weekday,713
714,Weekday,714
715,Weekday,715
716,Weekday,716
717,Weekday,717
718,Weekday,718
719,Weekday,719
720,Weekday,720
721,Weekday,721
722,Weekday,722
723,Weekday,723
724,Weekday,724
725,Weekday,725
726,Weekday,726
727,Weekday,727
728,Weekday,728
729,Weekday,729
730,Weekday,730
731,Weekday,731
732,Weekday,732
733,Weekday,733
734,Weekday,734
735,Weekday,735
736,Weekday,736
737,Weekday,737
738,Weekday,738
739,Weekday,739
740,Weekday,740
741,Weekday,741
742,Weekday,742
743,Weekday,743
744,Weekday,744
745,Weekday,745
746,Weekday,746
747,Weekday,747
748,Weekday,748
749,Weekday,749
750,Weekday,750
751,Weekday,751
752,Weekday,752
753,Weekend,753
754,Weekend,754
755,Weekend,755
756,Weekend,756
757,Weekend,757
758,Weekend,758
759,Weekend,759
760,Weekend,760
761,Weekend,761
762,Weekday,762
763,Weekday,763
764,Weekday,764
765,Weekday,765
766,Weekday,766
767,Weekend,767
768,Weekend,768
769,Weekend,769
770,Weekend,770
771,Weekend,771
772,Weekend,772
773,Weekend,773
774,Weekend,774
775,Weekend,775
776,Weekend,776
777,Weekend,777
778,Weekend,778
779,Weekend,779
780,Weekend,780
781,Weekend,781
782,Weekend,782
783,Weekend,783
784,Weekend,784
785,Weekend,785
786,Weekend,786
787,Weekend,787
788,Weekend,788
